MSSV,GT,DT,KV,M1,M2,M3,KT,NGAYTHI,DINHHUONGNGHENGHIEP
SV001,F,,2NT,3.25,3.25,4.5,A1,12/7/2018,No
SV002,M,,1,6,4,3.5,C,12/7/2018,Yes
SV003,M,,1,5,6.75,4,C,12/7/2018,No
SV004,M,,1,4.25,4.25,5.25,D1,12/7/2018,No
SV005,M,,2NT,4.25,4.5,5,A,12/7/2018,No
SV006,M,,1,1.5,4,6,D1,12/7/2018,No
SV007,F,,2,6.5,6.75,5.25,C,12/7/2018,Yes
SV008,F,,2,3.75,4.5,4.25,D1,12/7/2018,Yes
SV009,F,,1,3.5,3.5,6.75,D1,12/7/2018,Yes
SV0010,F,,1,4,4.75,5.5,D1,12/7/2018,Yes
SV0011,F,,2,3,4,5.5,D1,12/7/2018,No
SV0012,M,,2,6.75,6.5,4.25,D1,12/7/2018,Yes
SV0013,F,,1,2,4.5,5,D1,12/7/2018,No
SV0014,F,,1,2.5,2.75,5.5,D1,12/7/2018,No
SV0015,F,,2NT,3.5,4.5,6.5,A,12/7/2018,No
SV0016,M,,1,3.75,3,6.5,D1,12/7/2018,Yes
SV0017,F,,1,3.5,4,3.5,A,12/7/2018,Yes
SV0018,M,,1,4.25,4.5,5,A,12/7/2018,Yes
SV0019,M,,1,3.25,4.75,3.5,A,12/7/2018,No
SV0020,F,,2,3.5,4,4,A,12/7/2018,Yes
SV0021,M,,1,2.75,5,4.25,A,6/13/2019,No
SV0022,F,,1,3.5,3,4.5,D1,6/13/2019,No
SV0023,F,,2,5,3.5,6,C,6/13/2019,No
SV0024,M,,2NT,6.75,5.25,5,C,6/13/2019,No
SV0025,F,,1,7,2.25,5.25,C,6/13/2019,Yes
SV0026,F,,1,4.75,2,5.5,C,6/13/2019,No
SV0027,F,,1,5.25,4.5,4.75,C,6/13/2019,No
SV0028,F,,2NT,5.25,5,3.5,C,6/13/2019,Yes
SV0029,M,,2NT,3.25,5.25,3.75,A,6/13/2019,No
SV0030,M,,1,2.75,3.75,5,D1,6/13/2019,No
SV0031,F,,1,5,3.5,5.5,D1,6/13/2019,Yes
SV0032,M,,1,4.5,4.75,5.5,A,6/13/2019,Yes
SV0033,F,,2,4.5,4.5,4.75,D1,6/13/2019,No
SV0034,M,,1,2.25,4,4.25,A,6/13/2019,Yes
SV0035,M,,2NT,2.5,4.5,4.5,A,6/13/2019,No
SV0036,M,,2,2.5,5,5,A,6/13/2019,No
SV0037,M,,1,4.25,3.5,2.75,A,6/13/2019,Yes
SV0038,M,,2,2.25,5.25,4.5,A,6/13/2019,No
SV0039,M,,1,2,3,5.25,A,6/13/2019,No
SV0040,M,,1,2.75,4,4,A1,6/13/2019,No
SV0041,F,,2,5,3.75,5.75,D1,8/15/2020,Yes
SV0042,F,,2,4,4.5,5.75,A,8/15/2020,No
SV0043,F,,1,5.75,3.5,4.25,D1,8/15/2020,Yes
SV0044,F,1,2,1.25,3.5,5,D1,8/15/2020,Yes
SV0045,F,,2NT,3.75,4,4,A,8/15/2020,Yes
SV0046,F,,2,2,4.5,5,A,8/15/2020,No
SV0047,F,,1,5.25,2.25,5.25,D1,8/15/2020,Yes
SV0048,M,,2,4.75,6.5,8,A,8/15/2020,No
SV0049,F,,2,5,4,6.75,D1,8/15/2020,No
SV0050,F,,2NT,3.25,4.5,4,A1,8/15/2020,Yes
SV0051,F,,1,2,5.25,3.5,A,8/15/2020,No
SV0052,F,,1,2.5,3.25,5,A,8/15/2020,Yes
SV0053,F,,2NT,3.75,3.5,4.5,D1,8/15/2020,No
SV0054,M,,1,1,5.5,4.25,A,8/15/2020,No
SV0055,F,,2,4.5,3.75,4.5,D1,8/15/2020,No
SV0056,F,,2NT,4.25,4.75,3.25,A1,8/15/2020,No
SV0057,F,,1,6,5.5,5,A,8/15/2020,No
